year,role,ads,unique_employers
2022,Analytics Engineer,23,11
2022,Data Engineer,628,223
2022,Data Scientist,315,139
2022,Software Developer,10916,1425
2023,Analytics Engineer,41,28
2023,Data Engineer,616,216
2023,Data Scientist,270,133
2023,Software Developer,8989,1199
2024,Analytics Engineer,30,24
2024,Data Engineer,624,229
2024,Data Scientist,220,123
2024,Software Developer,6949,1081
2025,Analytics Engineer,34,21
2025,Data Engineer,655,254
2025,Data Scientist,241,127
2025,Software Developer,5175,989
