month,role,new_ads,unique_employers
2022-01-01,Analytics Engineer,2,2
2022-01-01,Data Engineer,54,40
2022-01-01,Data Scientist,21,18
2022-01-01,Software Developer,861,329
2022-02-01,Analytics Engineer,1,1
2022-02-01,Data Engineer,46,35
2022-02-01,Data Scientist,35,27
2022-02-01,Software Developer,1065,357
2022-03-01,Analytics Engineer,2,2
2022-03-01,Data Engineer,74,49
2022-03-01,Data Scientist,28,26
2022-03-01,Software Developer,1150,409
2022-04-01,Analytics Engineer,0,0
2022-04-01,Data Engineer,44,33
2022-04-01,Data Scientist,21,19
2022-04-01,Software Developer,944,340
2022-05-01,Analytics Engineer,3,3
2022-05-01,Data Engineer,61,41
2022-05-01,Data Scientist,41,31
2022-05-01,Software Developer,1004,361
2022-06-01,Analytics Engineer,2,2
2022-06-01,Data Engineer,55,38
2022-06-01,Data Scientist,21,16
2022-06-01,Software Developer,908,313
2022-07-01,Analytics Engineer,6,4
2022-07-01,Data Engineer,34,23
2022-07-01,Data Scientist,20,17
2022-07-01,Software Developer,609,236
2022-08-01,Analytics Engineer,2,2
2022-08-01,Data Engineer,46,41
2022-08-01,Data Scientist,29,25
2022-08-01,Software Developer,758,297
2022-09-01,Analytics Engineer,2,2
2022-09-01,Data Engineer,38,26
2022-09-01,Data Scientist,18,16
2022-09-01,Software Developer,879,333
2022-10-01,Analytics Engineer,0,0
2022-10-01,Data Engineer,72,49
2022-10-01,Data Scientist,16,14
2022-10-01,Software Developer,924,310
2022-11-01,Analytics Engineer,1,1
2022-11-01,Data Engineer,67,49
2022-11-01,Data Scientist,37,26
2022-11-01,Software Developer,872,297
2022-12-01,Analytics Engineer,2,2
2022-12-01,Data Engineer,37,32
2022-12-01,Data Scientist,28,20
2022-12-01,Software Developer,942,295
2023-01-01,Analytics Engineer,4,4
2023-01-01,Data Engineer,47,37
2023-01-01,Data Scientist,22,17
2023-01-01,Software Developer,836,292
2023-02-01,Analytics Engineer,4,4
2023-02-01,Data Engineer,54,37
2023-02-01,Data Scientist,27,16
2023-02-01,Software Developer,844,286
2023-03-01,Analytics Engineer,3,3
2023-03-01,Data Engineer,109,39
2023-03-01,Data Scientist,30,20
2023-03-01,Software Developer,1121,323
2023-04-01,Analytics Engineer,2,2
2023-04-01,Data Engineer,34,29
2023-04-01,Data Scientist,14,13
2023-04-01,Software Developer,780,279
2023-05-01,Analytics Engineer,4,3
