cohort,technology,ads_mentioning,share_pct
Data roles,Python,2020,54.6
Data roles,SQL,1769,47.8
Data roles,Azure,1157,31.3
Data roles,AWS,780,21.1
Data roles,Databricks,548,14.8
Data roles,Java,451,12.2
Data roles,Kubernetes,375,10.1
Data roles,Scala,363,9.8
Data roles,dbt,363,9.8
Data roles,Snowflake,329,8.9
Data roles,Git,320,8.7
Data roles,Kafka,317,8.6
Data roles,Docker,315,8.5
Data roles,Power BI,240,6.5
Data roles,Terraform,212,5.7
Data roles,C#,121,3.3
Data roles,Linux,100,2.7
Data roles,C++,83,2.2
Data roles,JavaScript,62,1.7
Data roles,.NET,59,1.6
Data roles,Kotlin,53,1.4
Data roles,Fabric,40,1.1
Data roles,Spring,35,0.9
Data roles,Node.js,33,0.9
Data roles,React,25,0.7
Data roles,TypeScript,22,0.6
Data roles,Angular,15,0.4
Data roles,Go,13,0.4
Data roles,Vue,7,0.2
Data roles,PHP,4,0.1
Data roles,Rust,3,0.1
Data roles,Ruby,2,0.1
Software Developer,Java,8228,25.7
Software Developer,.NET,7946,24.8
Software Developer,C#,7890,24.6
Software Developer,C++,6427,20.1
Software Developer,JavaScript,6218,19.4
Software Developer,Python,6080,19.0
Software Developer,React,6011,18.8
Software Developer,SQL,5309,16.6
Software Developer,Azure,4844,15.1
Software Developer,Git,4706,14.7
Software Developer,TypeScript,3949,12.3
Software Developer,Angular,3610,11.3
Software Developer,Docker,3233,10.1
Software Developer,AWS,3210,10.0
Software Developer,Kubernetes,3207,10.0
Software Developer,Linux,2437,7.6
Software Developer,Node.js,2148,6.7
Software Developer,Vue,1756,5.5
Software Developer,Spring,1495,4.7
Software Developer,PHP,1129,3.5
Software Developer,Kotlin,728,2.3
Software Developer,Kafka,702,2.2
Software Developer,Terraform,523,1.6
Software Developer,Go,409,1.3
Software Developer,Scala,197,0.6
Software Developer,Rust,147,0.5
Software Developer,Ruby,103,0.3
Software Developer,Power BI,84,0.3
Software Developer,Snowflake,40,0.1
Software Developer,Databricks,36,0.1
Software Developer,dbt,31,0.1
Software Developer,Fabric,5,0.0
