scheme,model,feature,family,gain
cold_cell,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.2766931019497447
cold_cell,lgbm_study,te_drugcell_max,Screen history: in-fold mean ZIP,0.2759144485463216
cold_pair,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.260315848108209
random,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.25646584420596025
cold_pair,lgbm_study,te_drugcell_max,Screen history: in-fold mean ZIP,0.24649032746035662
cold_drug,lgbm_full,te_drugcell_max,Screen history: in-fold mean ZIP,0.24319754332239385
random,lgbm_study,te_drugcell_max,Screen history: in-fold mean ZIP,0.24259320448123836
cold_drug,lgbm_study,te_drugcell_max,Screen history: in-fold mean ZIP,0.23224202553914294
cold_cell,lgbm_all,te_drugcell_max,Screen history: in-fold mean ZIP,0.1929595252563813
cold_pair,lgbm_all,te_drugcell_max,Screen history: in-fold mean ZIP,0.1701200959665992
cold_cell,lgbm_mono,te_drugcell_max,Screen history: in-fold mean ZIP,0.16962240506310797
random,lgbm_all,te_drugcell_max,Screen history: in-fold mean ZIP,0.16442814717933127
cold_pair,lgbm_mono,te_drugcell_max,Screen history: in-fold mean ZIP,0.16285162787124938
random,lgbm_mono,te_drugcell_max,Screen history: in-fold mean ZIP,0.16039343988135515
cold_drug,lgbm_all,te_drugcell_max,Screen history: in-fold mean ZIP,0.1591377473259159
cold_drug,lgbm_mono,te_drugcell_max,Screen history: in-fold mean ZIP,0.14981348802857505
cold_pair,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.1479937511328645
random,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.14769771264521345
cold_cell,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.14585627590042188
cold_drug,lgbm_full,te_drugcell_min,Screen history: in-fold mean ZIP,0.14277124992079282
cold_cell,lgbm_mono,te_drugcell_min,Screen history: in-fold mean ZIP,0.13484336562343244
random,lgbm_mono,te_drugcell_min,Screen history: in-fold mean ZIP,0.13156421126074647
cold_pair,lgbm_study,te_drugcell_min,Screen history: in-fold mean ZIP,0.13064067298004614
cold_pair,lgbm_mono,te_drugcell_min,Screen history: in-fold mean ZIP,0.1305920398686792
