lineage,combinations,cell_lines,mean_zip,q25,median_zip,q75,share_synergistic
Bone,6513,4,5.34,0.07,3.84,9.39,0.2311
Lymphoid,25870,8,2.42,-2.26,0.86,5.23,0.1282
Myeloid,10001,2,0.76,-3.34,0.02,3.95,0.0904
Bowel,40918,12,-0.54,-4.11,-0.69,2.43,0.0421
Pleura,5774,2,-0.43,-3.63,-0.86,1.82,0.0424
Ovary/Fallopian Tube,35677,12,-0.92,-4.09,-0.96,1.67,0.0311
Skin,48134,17,-0.81,-4.07,-0.97,2.05,0.0318
Lung,45059,13,-0.96,-3.91,-0.98,1.64,0.0273
Prostate,11554,4,-1.08,-4.28,-1.18,1.69,0.0287
CNS/Brain,32572,7,-0.78,-4.35,-1.29,1.58,0.0509
Breast,33997,10,-1.46,-4.87,-1.57,1.46,0.0283
Kidney,41404,8,-1.99,-5.13,-1.97,0.69,0.0198
Unknown,58528,14,-7.32,-20.57,-4.51,3.16,0.1027
