country_code,country_name_sv,country_name_en,is_nordic,is_eu27
AL,Albanien,Albania,false,false
AT,Österrike,Austria,false,true
BE,Belgien,Belgium,false,true
BG,Bulgarien,Bulgaria,false,true
CH,Schweiz,Switzerland,false,false
CY,Cypern,Cyprus,false,true
CZ,Tjeckien,Czechia,false,true
DE,Tyskland,Germany,false,true
DK,Danmark,Denmark,true,true
EE,Estland,Estonia,false,true
ES,Spanien,Spain,false,true
FI,Finland,Finland,true,true
FR,Frankrike,France,false,true
GB,Storbritannien,United Kingdom,false,false
GR,Grekland,Greece,false,true
HR,Kroatien,Croatia,false,true
HU,Ungern,Hungary,false,true
IE,Irland,Ireland,false,true
IL,Israel,Israel,false,false
IS,Island,Iceland,true,false
IT,Italien,Italy,false,true
LT,Litauen,Lithuania,false,true
LU,Luxemburg,Luxembourg,false,true
LV,Lettland,Latvia,false,true
ME,Montenegro,Montenegro,false,false
MK,Nordmakedonien,North Macedonia,false,false
NL,Nederländerna,Netherlands,false,true
NO,Norge,Norway,true,false
PL,Polen,Poland,false,true
PT,Portugal,Portugal,false,true
RO,Rumänien,Romania,false,true
RS,Serbien,Serbia,false,false
RU,Ryssland,Russia,false,false
SE,Sverige,Sweden,true,true
SI,Slovenien,Slovenia,false,true
SK,Slovakien,Slovakia,false,true
TR,Turkiet,Turkey,false,false
UA,Ukraina,Ukraine,false,false
XK,Kosovo,Kosovo,false,false
