topic,measure_code,domain,higher_is_better
psy,01,mental_halsa,true
psy,21,mental_halsa,false
psy,35,mental_halsa,false
psy,40,mental_halsa,false
psy,42,mental_halsa,false
psy,44,mental_halsa,false
psy,46,mental_halsa,false
psy,48,mental_halsa,false
psy,49,mental_halsa,false
psy,50,mental_halsa,false
psy,52,mental_halsa,false
psy,53,mental_halsa,false
psy,54,mental_halsa,false
psy,56,mental_halsa,false
psy,57,mental_halsa,false
psy,58,mental_halsa,false
psy,60,mental_halsa,false
psy,66,mental_halsa,false
psy,67,mental_halsa,false
psy,68,mental_halsa,false
psy,69,mental_halsa,false
allm,01,halsa,true
allm,02,halsa,false
allm,03,halsa,false
allm,04,halsa,true
soc,01,trygghet,false
soc,09,trygghet,false
soc,15,trygghet,false
soc,20,trygghet,false
soc,25,tillit_varderingar,false
soc,30,tillit_varderingar,false
soc,35,tillit_varderingar,false
soc,40,tillit_varderingar,false
soc,45,tillit_varderingar,false
soc,50,tillit_varderingar,false
