month,role,junior_ads,total_ads,junior_share_pct
2022-01-01,Analytics Engineer,0,2,0.0
2022-01-01,Data Engineer,1,54,1.9
2022-01-01,Data Scientist,0,21,0.0
2022-01-01,Software Developer,42,861,4.9
2022-02-01,Analytics Engineer,0,1,0.0
2022-02-01,Data Engineer,1,46,2.2
2022-02-01,Data Scientist,0,35,0.0
2022-02-01,Software Developer,61,1065,5.7
2022-03-01,Analytics Engineer,0,2,0.0
2022-03-01,Data Engineer,0,74,0.0
2022-03-01,Data Scientist,0,28,0.0
2022-03-01,Software Developer,94,1150,8.2
2022-04-01,Data Engineer,2,44,4.5
2022-04-01,Data Scientist,1,21,4.8
2022-04-01,Software Developer,58,944,6.1
2022-05-01,Analytics Engineer,0,3,0.0
2022-05-01,Data Engineer,3,61,4.9
2022-05-01,Data Scientist,1,41,2.4
2022-05-01,Software Developer,57,1004,5.7
2022-06-01,Analytics Engineer,0,2,0.0
2022-06-01,Data Engineer,4,55,7.3
2022-06-01,Data Scientist,0,21,0.0
2022-06-01,Software Developer,54,908,5.9
2022-07-01,Analytics Engineer,0,6,0.0
2022-07-01,Data Engineer,2,34,5.9
2022-07-01,Data Scientist,0,20,0.0
2022-07-01,Software Developer,38,609,6.2
2022-08-01,Analytics Engineer,1,2,50.0
2022-08-01,Data Engineer,2,46,4.3
2022-08-01,Data Scientist,0,29,0.0
2022-08-01,Software Developer,33,758,4.4
2022-09-01,Analytics Engineer,0,2,0.0
2022-09-01,Data Engineer,2,38,5.3
2022-09-01,Data Scientist,0,18,0.0
2022-09-01,Software Developer,62,879,7.1
2022-10-01,Data Engineer,1,72,1.4
2022-10-01,Data Scientist,0,16,0.0
2022-10-01,Software Developer,51,924,5.5
2022-11-01,Analytics Engineer,0,1,0.0
2022-11-01,Data Engineer,1,67,1.5
2022-11-01,Data Scientist,1,37,2.7
2022-11-01,Software Developer,44,872,5.0
2022-12-01,Analytics Engineer,0,2,0.0
2022-12-01,Data Engineer,1,37,2.7
2022-12-01,Data Scientist,1,28,3.6
2022-12-01,Software Developer,57,942,6.1
2023-01-01,Analytics Engineer,0,4,0.0
2023-01-01,Data Engineer,1,47,2.1
2023-01-01,Data Scientist,0,22,0.0
2023-01-01,Software Developer,43,836,5.1
2023-02-01,Analytics Engineer,0,4,0.0
2023-02-01,Data Engineer,2,54,3.7
2023-02-01,Data Scientist,0,27,0.0
2023-02-01,Software Developer,44,844,5.2
2023-03-01,Analytics Engineer,0,3,0.0
2023-03-01,Data Engineer,1,109,0.9
2023-03-01,Data Scientist,1,30,3.3
2023-03-01,Software Developer,38,1121,3.4
2023-04-01,Analytics Engineer,0,2,0.0
2023-04-01,Data Engineer,0,34,0.0
