point_id,session,designation,point,proposition_id,proposition_reference,proposition_title,proposition_url,committee_url,link_evidence,comparison_status
HC01AU3:1,2024/25,AU3,1,HB03165,2023/24:165,Riksrevisionens rapport om kortutbildade arbetssökandes övergång till reguljär utbildning,https://data.riksdagen.se/dokument/HB03165,https://data.riksdagen.se/dokument/HC01AU3,explicit_citation,document_level_only
HC01AU9:8,2024/25,AU9,8,HC0369,2024/25:69,Fördjupad uppföljning av arbetet med att förebygga och bekämpa mäns våld mot kvinnor,https://data.riksdagen.se/dokument/HC0369,https://data.riksdagen.se/dokument/HC01AU9,explicit_citation,document_level_only
HC01CU16:5,2024/25,CU16,5,HC0396,2024/25:96,Ny strategi för levande och trygga städer,https://data.riksdagen.se/dokument/HC0396,https://data.riksdagen.se/dokument/HC01CU16,explicit_citation,document_level_only
HC01CU17:1,2024/25,CU17,1,HC0397,2024/25:97,En ny regel om ränteskillnadsersättning - minskade hinder mot förtidsbetalning av bostadslån,https://data.riksdagen.se/dokument/HC0397,https://data.riksdagen.se/dokument/HC01CU17,explicit_citation,document_level_only
HC01CU19:1,2024/25,CU19,1,HC03132,2024/25:132,Lättnader i byggkraven för studentbostäder,https://data.riksdagen.se/dokument/HC03132,https://data.riksdagen.se/dokument/HC01CU19,explicit_citation,document_level_only
HC01CU1:1,2024/25,CU1,1,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01CU1,explicit_citation,document_level_only
HC01CU1:3,2024/25,CU1,3,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01CU1,explicit_citation,document_level_only
HC01CU2:1,2024/25,CU2,1,HB03143,2023/24:143,"Aktsamhet vid bygg-, rivnings- och markåtgärder",https://data.riksdagen.se/dokument/HB03143,https://data.riksdagen.se/dokument/HC01CU2,explicit_citation,document_level_only
HC01CU3:1,2024/25,CU3,1,HC038,2024/25:8,Bolag och brott,https://data.riksdagen.se/dokument/HC038,https://data.riksdagen.se/dokument/HC01CU3,explicit_citation,document_level_only
HC01CU4:1,2024/25,CU4,1,HC0310,2024/25:10,Tryggare hem för barn,https://data.riksdagen.se/dokument/HC0310,https://data.riksdagen.se/dokument/HC01CU4,explicit_citation,document_level_only
HC01CU5:1,2024/25,CU5,1,HC0317,2024/25:17,Ett förstärkt konsumentskydd mot riskfylld kreditgivning och överskuldsättning,https://data.riksdagen.se/dokument/HC0317,https://data.riksdagen.se/dokument/HC01CU5,explicit_citation,document_level_only
HC01CU6:1,2024/25,CU6,1,HC0342,2024/25:42,Åtgärder för en bättre bostadsförsörjning,https://data.riksdagen.se/dokument/HC0342,https://data.riksdagen.se/dokument/HC01CU6,explicit_citation,document_level_only
HC01CU6:2,2024/25,CU6,2,HC0342,2024/25:42,Åtgärder för en bättre bostadsförsörjning,https://data.riksdagen.se/dokument/HC0342,https://data.riksdagen.se/dokument/HC01CU6,explicit_citation,document_level_only
HC01FiU16:3,2024/25,FiU16,3,HC0352,2024/25:52,Riksrevisionens rapport om statens tillsyn för att motverka penningtvätt,https://data.riksdagen.se/dokument/HC0352,https://data.riksdagen.se/dokument/HC01FiU16,explicit_citation,document_level_only
HC01FiU17:8,2024/25,FiU17,8,HC0366,2024/25:66,Sveriges genomförande av Agenda 2030,https://data.riksdagen.se/dokument/HC0366,https://data.riksdagen.se/dokument/HC01FiU17,explicit_citation,document_level_only
HC01FiU1:1,2024/25,FiU1,1,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:2,2024/25,FiU1,2,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:2,2024/25,FiU1,2,HC0315,2024/25:15,Avtal mellan Sverige och Danmark om vissa skattefrågor,https://data.riksdagen.se/dokument/HC0315,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:2,2024/25,FiU1,2,HC0325,2024/25:25,Utvidgat växa-stöd - nedsättning av arbetsgivaravgifterna för upp till två anställda,https://data.riksdagen.se/dokument/HC0325,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:2,2024/25,FiU1,2,HC0326,2024/25:26,Avtrappat ränteavdrag för lån utan säkerhet,https://data.riksdagen.se/dokument/HC0326,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:2,2024/25,FiU1,2,HC0330,2024/25:30,Sänkt skatt på bensin och diesel,https://data.riksdagen.se/dokument/HC0330,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:3,2024/25,FiU1,3,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:4,2024/25,FiU1,4,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:5,2024/25,FiU1,5,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU1:6,2024/25,FiU1,6,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU1,explicit_citation,document_level_only
HC01FiU20:1,2024/25,FiU20,1,HC03100,2024/25:100,2025 års ekonomiska vårproposition,https://data.riksdagen.se/dokument/HC03100,https://data.riksdagen.se/dokument/HC01FiU20,explicit_citation,document_level_only
HC01FiU20:2,2024/25,FiU20,2,HC03120,2024/25:120,Riksrevisionens rapport om tillämpningen av det finanspolitiska ramverket 2024,https://data.riksdagen.se/dokument/HC03120,https://data.riksdagen.se/dokument/HC01FiU20,explicit_citation,document_level_only
HC01FiU22:1,2024/25,FiU22,1,HC0382,2024/25:82,"Redovisning av verksamheten i Internationella valutafonden, Världsbanksgruppen samt regionala utvecklings- och investeringsbanker 2023 och 2024",https://data.riksdagen.se/dokument/HC0382,https://data.riksdagen.se/dokument/HC01FiU22,explicit_citation,document_level_only
HC01FiU32:1,2024/25,FiU32,1,HC03156,2024/25:156,Extra ändringsbudget för 2025 - Tillfälligt höjd subventionsgrad för rotavdraget,https://data.riksdagen.se/dokument/HC03156,https://data.riksdagen.se/dokument/HC01FiU32,explicit_citation,document_level_only
HC01FiU37:1,2024/25,FiU37,1,HC03138,2024/25:138,Stärkt konsumentskydd på kreditmarknaden,https://data.riksdagen.se/dokument/HC03138,https://data.riksdagen.se/dokument/HC01FiU37,explicit_citation,document_level_only
HC01FiU5:1,2024/25,FiU5,1,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01FiU5,explicit_citation,document_level_only
HC01FiU6:1,2024/25,FiU6,1,HB03130,2023/24:130,Redovisning av AP-fondernas verksamhet t.o.m. 2023,https://data.riksdagen.se/dokument/HB03130,https://data.riksdagen.se/dokument/HC01FiU6,explicit_citation,document_level_only
HC01FöU1:2,2024/25,FöU1,2,HC031,2024/25:1,Budgetpropositionen för 2025,https://data.riksdagen.se/dokument/HC031,https://data.riksdagen.se/dokument/HC01F%C3%B6U1,explicit_citation,document_level_only
HC01FöU2:1,2024/25,FöU2,1,HC0334,2024/25:34,Totalförsvaret 2025-2030,https://data.riksdagen.se/dokument/HC0334,https://data.riksdagen.se/dokument/HC01F%C3%B6U2,explicit_citation,document_level_only
HC01FöU2:24,2024/25,FöU2,24,HC0334,2024/25:34,Totalförsvaret 2025-2030,https://data.riksdagen.se/dokument/HC0334,https://data.riksdagen.se/dokument/HC01F%C3%B6U2,explicit_citation,document_level_only
HC01FöU2:28,2024/25,FöU2,28,HC0334,2024/25:34,Totalförsvaret 2025-2030,https://data.riksdagen.se/dokument/HC0334,https://data.riksdagen.se/dokument/HC01F%C3%B6U2,explicit_citation,document_level_only
HC01FöU2:33,2024/25,FöU2,33,HC0334,2024/25:34,Totalförsvaret 2025-2030,https://data.riksdagen.se/dokument/HC0334,https://data.riksdagen.se/dokument/HC01F%C3%B6U2,explicit_citation,document_level_only
HC01FöU3:1,2024/25,FöU3,1,HC0370,2024/25:70,Integritetsskydd vid signalspaning i försvarsunderrättelseverksamhet,https://data.riksdagen.se/dokument/HC0370,https://data.riksdagen.se/dokument/HC01F%C3%B6U3,explicit_citation,document_level_only
HC01FöU8:3,2024/25,FöU8,3,HC03121,2024/25:121,Nationell strategi för cybersäkerhet 2025-2029,https://data.riksdagen.se/dokument/HC03121,https://data.riksdagen.se/dokument/HC01F%C3%B6U8,explicit_citation,document_level_only
HC01JuU18:1,2024/25,JuU18,1,HC0337,2024/25:37,Biometri i brottsbekämpningen,https://data.riksdagen.se/dokument/HC0337,https://data.riksdagen.se/dokument/HC01JuU18,explicit_citation,document_level_only
HC01JuU18:2,2024/25,JuU18,2,HC0337,2024/25:37,Biometri i brottsbekämpningen,https://data.riksdagen.se/dokument/HC0337,https://data.riksdagen.se/dokument/HC01JuU18,explicit_citation,document_level_only
HC01JuU19:2,2024/25,JuU19,2,HC0329,2024/25:29,Riksrevisionens rapport om Kriminalvårdens behandlingsverksamhet,https://data.riksdagen.se/dokument/HC0329,https://data.riksdagen.se/dokument/HC01JuU19,explicit_citation,document_level_only
HC01JuU21:1,2024/25,JuU21,1,HC0351,2024/25:51,Hemlig dataavläsning mot allvarliga brott,https://data.riksdagen.se/dokument/HC0351,https://data.riksdagen.se/dokument/HC01JuU21,explicit_citation,document_level_only
HC01JuU22:1,2024/25,JuU22,1,HC0359,2024/25:59,En modern straffrättslig preskriptionslagstiftning,https://data.riksdagen.se/dokument/HC0359,https://data.riksdagen.se/dokument/HC01JuU22,explicit_citation,document_level_only
HC01JuU22:2,2024/25,JuU22,2,HC0359,2024/25:59,En modern straffrättslig preskriptionslagstiftning,https://data.riksdagen.se/dokument/HC0359,https://data.riksdagen.se/dokument/HC01JuU22,explicit_citation,document_level_only
HC01JuU22:3,2024/25,JuU22,3,HC0359,2024/25:59,En modern straffrättslig preskriptionslagstiftning,https://data.riksdagen.se/dokument/HC0359,https://data.riksdagen.se/dokument/HC01JuU22,explicit_citation,document_level_only
HC01JuU24:4,2024/25,JuU24,4,HC0354,2024/25:54,Riksrevisionens rapport om statens insatser för barn som misstänks för grova brott,https://data.riksdagen.se/dokument/HC0354,https://data.riksdagen.se/dokument/HC01JuU24,explicit_citation,document_level_only
HC01JuU25:4,2024/25,JuU25,4,HC0364,2024/25:64,Redovisning av användningen av hemliga tvångsmedel under 2023,https://data.riksdagen.se/dokument/HC0364,https://data.riksdagen.se/dokument/HC01JuU25,explicit_citation,document_level_only
HC01JuU27:1,2024/25,JuU27,1,HC0393,2024/25:93,Kamerabevakning i brottsbekämpning och annan offentlig verksamhet - utökade möjligheter och ett enklare förfarande,https://data.riksdagen.se/dokument/HC0393,https://data.riksdagen.se/dokument/HC01JuU27,explicit_citation,document_level_only
HC01JuU28:1,2024/25,JuU28,1,HC03104,2024/25:104,Internationell verkställighet i brottmål,https://data.riksdagen.se/dokument/HC03104,https://data.riksdagen.se/dokument/HC01JuU28,explicit_citation,document_level_only
HC01JuU29:1,2024/25,JuU29,1,HC03141,2024/25:141,"Ett starkare skydd för offentliganställda mot våld, hot och trakasserier m.m.",https://data.riksdagen.se/dokument/HC03141,https://data.riksdagen.se/dokument/HC01JuU29,explicit_citation,document_level_only
HC01JuU29:2,2024/25,JuU29,2,HC03141,2024/25:141,"Ett starkare skydd för offentliganställda mot våld, hot och trakasserier m.m.",https://data.riksdagen.se/dokument/HC03141,https://data.riksdagen.se/dokument/HC01JuU29,explicit_citation,document_level_only
