component,explained_variance
1,0.1327929
2,0.09712195
3,0.06441342
4,0.033973366
5,0.02661972
6,0.02079769
7,0.020752663
8,0.01741635
9,0.014177082
10,0.013168146
11,0.011831112
12,0.0100451205
13,0.009410625
14,0.008973194
15,0.008091106
16,0.007129279
17,0.007051116
18,0.0067321844
19,0.006480141
20,0.00581591
21,0.005664504
22,0.0053836377
23,0.0051682726
24,0.005002294
25,0.0049056746
26,0.004400423
27,0.004350097
28,0.0041841045
29,0.004114083
30,0.0041004987
31,0.0037677635
32,0.003617384
