drug_name,combinations,partners,cell_lines,mean_zip,share_synergistic
doxorubicin,12329,500,103,-1.45,0.027
temozolomide,9373,1936,95,1.85,0.124
ruxolitinib,9276,2425,69,2.84,0.126
sunitinib,7753,384,96,-0.23,0.049
vorinostat,7717,409,97,-1.2,0.023
sorafenib,7638,376,97,-0.7,0.049
dasatinib,7583,224,102,0.07,0.052
erlotinib,7479,164,96,0.34,0.051
lapatinib,7415,126,96,0.15,0.049
5 fluorouracil,7285,369,95,-3.26,0.024
crizotinib,7209,145,66,-0.42,0.033
bortezomib,7119,408,100,-0.35,0.026
mitomycin c,7072,265,98,-1.91,0.034
7 ethyl 10 hydroxycamptothecin,7072,400,95,-2.45,0.028
an 265,7069,368,95,-2.28,0.024
demethyepipodophyll-otoxin,7050,208,97,-1.76,0.031
methotrexate,7047,494,98,-2.09,0.032
vinblastine,6976,369,95,-0.33,0.046
topotecan,6857,156,97,-2.74,0.021
cyclophosphamide,6850,120,96,0.18,0.029
oxaliplatin,6802,118,94,-3.6,0.015
raloxifene,6735,176,66,1.23,0.046
paclitaxel,6557,121,97,-0.32,0.081
pazopanib,6533,356,67,0.84,0.074
gefitinib,6524,422,69,-1.48,0.066
everolimus,6431,451,71,-1.78,0.035
altretamine,6413,355,65,0.31,0.032
chlorambucil,6410,355,64,-4.4,0.011
vemurafenib,6356,107,71,1.53,0.071
tamoxifen,6322,421,69,0.14,0.068
cytarabine,6317,412,68,-2.97,0.008
allopurinol,6283,355,65,-1.71,0.012
vandetanib,6277,105,66,-0.28,0.049
abiraterone,6273,104,66,0.33,0.059
mitoxantrone,6268,355,65,-0.15,0.061
anastrozole,6266,355,65,-1.03,0.02
vismodegib,6263,105,69,1.0,0.085
hydroxyurea,6254,355,65,-0.83,0.02
axitinib,6254,105,66,0.19,0.037
clofarabine,6245,355,65,-2.24,0.01
lenalidomide,6227,184,66,-1.87,0.013
busulfan,6225,355,65,-2.33,0.014
imatinib,6223,357,67,0.27,0.04
niapent,6222,356,66,-1.64,0.018
thiotepa,6221,354,64,-4.0,0.007
thalidomide,6217,355,65,-0.61,0.032
carmustine,6217,355,64,-2.28,0.015
mitotane,6199,355,65,-0.25,0.055
araac,6197,358,71,-2.49,0.011
6 mercaptopurine,6197,357,67,-5.01,0.019
